Age,AvgInteract,StdyHour,BffTime,HobbyHour,SleepHour,Gender,AcademicLevel
22,37,11,6,6,6,Female,Degree
25,16,8,5,6,4,Female,High school
27,43,9,7,7,7,Male,High school
23,29,2,5,6,8,Female,Degree
32,27,9,5,8,10,Female,Degree
34,34,1,6,3,4,Male,Degree
24,40,11,6,9,8,Female,Degree
25,33,13,5,2,5,Female,Degree
21,40,8,7,8,5,Male,Degree
33,27,11,5,7,3,Female,Pre-U
24,30,7,6,7,6,Female,Pre-U
18,28,9,5,3,7,Female,Pre-U
17,40,9,4,8,10,Male,Pre-U
20,24,9,5,4,8,Male,Degree
20,31,11,6,7,5,Male,Degree
29,16,12,6,3,10,Female,Pre-U
22,15,9,4,8,3,Male,Degree
25,15,9,5,6,6,Male,High school
22,29,11,6,8,5,Female,Pre-U
32,27,11,6,10,6,Female,Degree
24,24,6,6,5,8,Male,Pre-U
26,23,12,6,7,6,Male,Degree
22,16,11,6,7,9,Male,Degree
24,19,7,5,4,7,Male,Degree
17,17,7,7,7,5,Female,Degree
22,30,9,3,5,8,Male,High school
24,28,6,3,5,10,Male,Degree
17,32,8,6,10,7,Male,Degree
26,30,9,5,7,8,Female,Postgraduates
23,37,12,5,6,4,Male,Degree
29,23,4,7,9,6,Male,Degree
18,27,11,5,9,7,Female,Degree
26,23,8,7,10,7,Female,Degree
30,14,4,6,5,4,Female,Degree
30,26,1,6,9,8,Male,Degree
19,24,10,7,4,4,Male,Pre-U
22,16,9,7,7,7,Female,Degree
21,27,8,6,7,6,Female,Pre-U
24,44,8,7,5,5,Female,Degree
21,22,16,6,6,6,Female,Degree
20,25,10,4,9,3,Male,High school
28,48,9,4,8,3,Male,Degree
24,21,6,5,5,6,Female,High school
25,32,12,5,5,4,Female,Degree
34,22,8,5,6,7,Female,Degree
27,47,7,6,7,7,Female,Pre-U
28,29,13,5,5,7,Male,Degree
30,32,7,5,6,6,Male,Degree
27,13,6,6,5,7,Male,High school
24,34,6,6,8,3,Female,High school
28,26,6,6,6,6,Male,High school
36,35,5,5,6,10,Female,High school
31,31,6,5,10,4,Male,Degree
21,16,3,5,4,7,Male,Degree
21,27,11,6,8,6,Female,Degree
17,41,6,8,7,5,Male,Degree
19,38,3,6,5,3,Male,Degree
33,31,12,4,9,4,Female,Degree
28,41,12,6,7,6,Male,Degree
26,31,11,4,6,5,Male,Degree
27,19,12,5,8,5,Female,Degree
27,46,8,7,4,4,Male,Degree
22,34,12,6,6,7,Female,Degree
21,10,9,7,2,6,Male,Degree
26,26,8,6,4,6,Male,Pre-U
22,28,7,5,9,5,Male,High school
19,19,11,7,7,5,Male,Degree
20,24,13,6,6,7,Male,Pre-U
27,44,9,5,7,6,Female,Degree
22,26,7,8,7,6,Female,Degree
32,37,11,6,3,4,Male,Degree
28,28,2,6,7,3,Female,Pre-U
28,25,16,7,6,4,Female,Degree
30,31,9,6,5,5,Male,Degree
25,27,9,5,9,8,Female,Pre-U
20,24,9,5,7,8,Male,Degree
21,35,9,5,7,7,Male,Degree
28,44,10,5,6,7,Female,High school
17,49,6,4,10,9,Female,Degree
22,15,6,5,5,7,Male,Degree
24,21,10,8,6,10,Female,Degree
18,22,10,4,9,4,Male,Pre-U
30,8,15,5,7,4,Male,Degree
29,30,11,6,1,10,Female,High school
22,35,12,6,10,8,Male,Degree
22,17,9,4,8,6,Male,Degree
28,25,11,6,8,7,Female,Degree
23,38,5,6,9,9,Male,Degree
19,39,9,6,4,5,Male,Degree
24,25,8,5,7,8,Female,Degree
17,21,12,7,6,4,Female,Degree
18,36,13,5,8,3,Male,Degree
17,38,6,5,9,6,Female,Degree
29,50,5,5,6,6,Female,Degree
23,17,9,5,7,8,Female,Degree
28,50,7,5,9,9,Male,Degree
30,45,9,6,7,8,Female,Degree
25,28,3,6,7,4,Male,High school
21,30,7,6,5,3,Male,Degree
26,29,8,4,6,6,Female,Pre-U
26,31,5,6,8,6,Female,High school
21,31,6,5,6,9,Male,Degree
27,35,9,7,7,9,Female,Degree
31,32,8,3,9,4,Female,Degree
17,46,11,6,5,5,Female,Degree
28,28,12,7,5,6,Female,Degree
27,16,11,5,7,4,Female,Degree
28,23,4,7,6,9,Female,Degree
24,33,8,5,7,9,Female,Degree
17,32,16,6,9,7,Male,Degree
21,15,14,6,5,4,Male,Degree
31,21,8,6,8,6,Male,Degree
24,30,9,6,10,7,Female,Degree
21,18,4,5,5,10,Male,Degree
